组別,owner,repo,folder
一A,zechuncai,nfu_newmedia_python,Physical_condition_inquiry
一B,kkrrystal2,nfu_newmedia_python,today_in_history_4web
一C,CherryLichan,nfu_newmedia_python,Zodiac-match
一D,Observer-L,nfu_newmedia_python,weather_forecast
一E,LUOJIHAO,nfu_newmedia_python,food_master
一F,Ach3oh,nfu_newmedia_python,airport-distance1.0
一G,SylviaTang,nfu_newmedia_python,airportsweb
一H,Zhou-Yu-Jin,nfu_newmedia_python,find_the_weather
一I,vivianting,nfu_newmedia_python,Compendium_of_Materia_Medica_4web
二A,YouYou-Chen,nfu_newmedia_python,pick_a_National_GDP_4web
二B,tissues00,nfu_newmedia_python,nfu_newmedia.national.data
二C,hujingyin,nfu_newmedia_python,webapp_zh
二D,niniupiwofu,nfu_newmedia_python,University_inquiry
二E,treeice,nfu_newmedia_python,web_translate_baidu_api
二F,Baizui,nfu_newmedia_python,province
二G,Tumaorou,nfu_newmedia_python,game_hero_data
二H,zhihaopy,nfu_newmedia_python,astro
二I,690244957,nfu_newmedia_python,guangdongmap
三A,hanteng,nfu_newmedia_python,pick_a_color_4web
