数据库：分省年度数据
指标：互联网普及率(%)
时间：最近5年
地区,2015年,2014年,2013年,2012年,2011年
北京市,76.5,75.3,75.2,72.2,70.3
天津市,63.0,61.4,61.3,58.5,55.6
河北省,50.5,49.1,46.5,41.5,36.1
山西省,54.2,50.6,48.6,44.2,39.3
内蒙古自治区,50.3,45.7,43.9,38.9,34.6
辽宁省,62.2,58.8,55.9,50.2,47.8
吉林省,47.7,45.2,42.3,38.6,35.2
黑龙江省,44.5,41.7,39.5,34.7,31.5
上海市,73.1,71.1,70.7,68.4,66.2
江苏省,55.5,53.8,51.7,50.0,46.8
浙江省,65.3,62.9,60.8,59.0,56.1
安徽省,39.4,36.9,35.9,31.3,26.6
福建省,69.6,65.5,64.1,61.3,57.0
江西省,38.7,34.1,32.6,28.5,24.4
山东省,48.9,47.6,44.7,40.1,37.8
河南省,39.2,36.9,34.9,30.4,27.5
湖北省,46.8,45.3,43.1,40.1,37.2
湖南省,39.9,38.6,36.3,33.3,29.5
广东省,72.4,68.5,66.0,63.1,60.4
广西壮族自治区,42.8,39.4,37.9,34.2,29.4
海南省,51.6,47.6,46.4,43.7,38.9
重庆市,48.3,45.7,43.9,40.9,37.0
四川省,40.0,37.3,35.1,31.8,27.7
贵州省,38.4,34.9,32.9,28.6,24.2
云南省,37.4,35.1,32.8,28.5,24.8
西藏自治区,44.6,39.4,37.4,33.3,29.9
陕西省,50.0,46.4,45.0,41.5,38.3
甘肃省,38.8,36.8,34.7,31.0,27.4
青海省,54.5,50.0,47.8,41.9,36.9
宁夏回族自治区,49.3,45.1,43.7,40.3,32.8
新疆维吾尔自治区,54.9,50.3,49.0,43.6,40.4
数据来源：国家统计局
